date,entry_time,exit_time,direction,entry_price,exit_price,result,pips,tokyo_high,tokyo_low,tokyo_range_pips,entry_hour,year,month
2015-05-26,2015-05-26 07:55:00,2015-05-26 09:10:00,BUY,121.845,121.945,WIN,9.7,121.788,121.483,30.49999999999926,7,2015,5
2015-05-27,2015-05-27 08:35:00,2015-05-27 12:40:00,SELL,122.859,123.359,LOSS,-50.3,123.311,122.922,38.900000000001,8,2015,5
2015-06-02,2015-06-02 07:50:00,2015-06-02 08:35:00,SELL,124.635,124.53500000000001,WIN,9.7,125.05,124.692,35.80000000000041,7,2015,6
2015-06-03,2015-06-03 11:50:00,2015-06-03 13:05:00,BUY,124.327,124.42699999999999,WIN,9.7,124.233,123.849,38.400000000000034,11,2015,6
2015-06-04,2015-06-04 09:40:00,2015-06-04 11:20:00,SELL,124.147,124.04700000000001,WIN,9.7,124.564,124.217,34.69999999999942,9,2015,6
2015-06-05,2015-06-05 10:15:00,2015-06-05 10:40:00,BUY,124.625,124.725,WIN,9.7,124.567,124.342,22.49999999999943,10,2015,6
2015-06-08,2015-06-08 09:50:00,2015-06-08 09:55:00,SELL,125.226,125.126,WIN,9.7,125.675,125.282,39.30000000000007,9,2015,6
2015-06-09,2015-06-09 08:55:00,2015-06-09 09:00:00,SELL,124.274,124.174,WIN,9.7,124.733,124.392,34.10000000000082,8,2015,6
2015-06-10,2015-06-10 06:30:00,2015-06-10 07:15:00,BUY,124.601,124.101,LOSS,-50.3,124.538,124.239,29.89999999999924,6,2015,6
2015-06-17,2015-06-17 08:10:00,2015-06-17 10:25:00,BUY,123.543,123.643,WIN,9.7,123.458,123.337,12.099999999999511,8,2015,6
2015-06-22,2015-06-22 10:30:00,2015-06-22 13:05:00,BUY,123.067,123.16699999999999,WIN,9.7,122.975,122.549,42.59999999999877,10,2015,6
2015-06-25,2015-06-25 06:05:00,2015-06-25 07:15:00,SELL,123.655,123.555,WIN,9.7,123.954,123.711,24.2999999999995,6,2015,6
2015-07-01,2015-07-01 08:55:00,2015-07-01 09:25:00,BUY,122.655,122.755,WIN,9.7,122.596,122.347,24.900000000000944,8,2015,7
2015-07-14,2015-07-14 08:20:00,2015-07-14 08:40:00,SELL,123.311,123.21100000000001,WIN,9.7,123.728,123.39,33.799999999999386,8,2015,7
2015-07-23,2015-07-23 10:10:00,2015-07-23 10:30:00,SELL,123.861,123.76100000000001,WIN,9.7,124.14,123.916,22.400000000000375,10,2015,7
2015-07-27,2015-07-27 09:25:00,2015-07-27 10:25:00,SELL,123.409,123.30900000000001,WIN,9.7,123.83,123.465,36.49999999999949,9,2015,7
2015-07-28,2015-07-28 07:40:00,2015-07-28 10:00:00,BUY,123.566,123.666,WIN,9.7,123.492,123.07,42.200000000001125,7,2015,7
2015-07-30,2015-07-30 12:30:00,2015-07-30 13:50:00,BUY,124.24,124.33999999999999,WIN,9.7,124.188,123.869,31.90000000000026,12,2015,7
2015-08-10,2015-08-10 09:40:00,2015-08-10 11:20:00,BUY,124.47,124.57,WIN,9.7,124.406,124.141,26.500000000000057,9,2015,8
2015-08-12,2015-08-12 08:55:00,2015-08-12 09:55:00,SELL,124.892,124.792,WIN,9.7,125.24,125.03,20.999999999999375,8,2015,8
2015-08-14,2015-08-14 09:50:00,2015-08-14 13:20:00,SELL,124.296,124.19600000000001,WIN,9.7,124.522,124.355,16.70000000000016,9,2015,8
2015-08-18,2015-08-18 10:10:00,2015-08-18 11:10:00,SELL,124.306,124.206,WIN,9.7,124.495,124.365,13.000000000000966,10,2015,8
2015-08-20,2015-08-20 09:40:00,2015-08-20 10:05:00,BUY,124.035,124.13499999999999,WIN,9.7,123.982,123.779,20.300000000000296,9,2015,8
2015-08-28,2015-08-28 07:00:00,2015-08-28 10:55:00,SELL,120.867,120.76700000000001,WIN,9.7,121.302,120.922,38.000000000000966,7,2015,8
2015-09-08,2015-09-08 06:20:00,2015-09-08 06:30:00,SELL,119.057,118.95700000000001,WIN,9.7,119.53,119.163,36.70000000000044,6,2015,9
2015-09-11,2015-09-11 10:20:00,2015-09-11 10:40:00,SELL,120.456,120.35600000000001,WIN,9.7,120.962,120.57,39.20000000000101,10,2015,9
2015-09-14,2015-09-14 06:55:00,2015-09-14 09:20:00,SELL,120.328,120.22800000000001,WIN,9.7,120.83,120.431,39.90000000000009,6,2015,9
2015-09-15,2015-09-15 06:20:00,2015-09-15 06:30:00,SELL,120.081,119.98100000000001,WIN,9.7,120.64,120.165,47.49999999999943,6,2015,9
2015-09-17,2015-09-17 08:00:00,2015-09-17 08:15:00,BUY,120.721,120.821,WIN,9.7,120.659,120.336,32.30000000000075,8,2015,9
2015-09-21,2015-09-21 11:30:00,2015-09-21 11:50:00,BUY,120.187,120.28699999999999,WIN,9.7,120.134,119.733,40.099999999999625,11,2015,9
2015-09-22,2015-09-22 10:00:00,2015-09-22 10:15:00,SELL,120.25,120.15,WIN,9.7,120.605,120.324,28.10000000000059,10,2015,9
2015-09-25,2015-09-25 09:15:00,2015-09-25 10:15:00,BUY,120.451,120.55099999999999,WIN,9.7,120.379,120.005,37.400000000000944,9,2015,9
2015-09-28,2015-09-28 08:40:00,2015-09-28 12:20:00,SELL,120.186,120.08600000000001,WIN,9.7,120.589,120.244,34.499999999999886,8,2015,9
