symbol,tp,sl,trades,win_rate,consec_wins,net_pips,max_dd,pf
USDJPY,10,50,1901,66.28090478695424,22,-20020.300000000003,-20221.799999999224,0.37906725016515574
USDJPY,15,50,1901,59.17937927406628,13,-22495.300000000003,-22619.799999999173,0.42368213400012295
USDJPY,20,50,1901,55.181483429773806,13,-22190.300000000003,-22452.59999999927,0.4822076928102744
EURJPY,10,50,2217,72.16959855660802,32,-15515.099999999999,-15534.499999999272,0.5000789428743585
EURJPY,15,50,2217,64.0956247180875,13,-19150.1,-19179.49999999914,0.5217114399032937
EURJPY,20,50,2217,59.04375281912494,11,-19885.1,-19924.499999999127,0.5646145155498725
GBPJPY,10,50,2235,79.46308724832215,35,-5860.499999999998,-6031.500000000263,0.7461635416260608
GBPJPY,15,50,2235,71.94630872483222,23,-7900.499999999998,-8121.700000000272,0.7494934698031902
GBPJPY,20,50,2235,66.30872483221476,14,-8680.499999999998,-8996.10000000014,0.7708173271130188
AUDJPY,10,50,1913,67.74699424986932,21,-18463.9,-18421.499999999272,0.4050639437282303
AUDJPY,15,50,1913,59.95818086774699,12,-21668.9,-21673.499999999225,0.43760673556571794
AUDJPY,20,50,1913,56.14218504966022,11,-21043.9,-20993.599999999213,0.5013494717037464
EURUSD,10,50,2339,64.94228302693459,15,-25810.7017,-25810.667499999476,0.37047446739709816
EURUSD,15,50,2339,56.26336041043181,12,-31410.701700000005,-31430.69869999946,0.38591371970829746
EURUSD,20,50,2339,52.20179563916203,12,-31480.701700000005,-31580.66449999944,0.43684234674556177
GBPUSD,10,50,2594,72.62914417887433,24,-16660.7782,-16780.772799999504,0.5306851201146315
GBPUSD,15,50,2594,64.14803392444102,20,-21540.7782,-21690.77519999948,0.536760237503091
GBPUSD,20,50,2594,58.057054741711646,13,-24280.7782,-24500.77279999943,0.5536648434521158
