strategy,trades,win_rate,total_pips,max_consecutive_wins,max_consecutive_losses,pf,max_dd,tp,sl
RSI Mean Reversion,12379,86.3,-1003.7,38,5,0.98,-2007.2,5,30
RSI Mean Reversion,10952,91.4,-390.6,75,4,0.99,-1688.3,5,50
RSI Mean Reversion,9902,93.4,-2360.6,100,2,0.95,-3459.0,5,70
RSI Mean Reversion,8770,95.6,269.0,156,2,1.01,-2040.2,5,100
RSI Mean Reversion,10633,75.9,820.1,25,5,1.01,-1591.8,10,30
RSI Mean Reversion,8853,83.8,-165.9,42,4,1.0,-1976.7,10,50
RSI Mean Reversion,7654,87.4,-2796.2,45,3,0.96,-4260.3,10,70
RSI Mean Reversion,6367,90.8,-2810.1,58,4,0.95,-4370.3,10,100
RSI Mean Reversion,9292,67.2,-567.6,19,7,0.99,-3085.8,15,30
RSI Mean Reversion,7350,77.1,-1155.0,25,4,0.99,-3062.0,15,50
RSI Mean Reversion,6304,82.3,-2106.2,29,5,0.97,-4731.2,15,70
RSI Mean Reversion,5195,87.3,696.5,50,4,1.01,-2984.3,15,100
RSI Mean Reversion,8325,59.9,-2847.5,16,9,0.97,-4025.7,20,30
RSI Mean Reversion,6438,71.1,-3231.4,17,6,0.97,-4322.3,20,50
RSI Mean Reversion,5362,77.0,-5158.6,28,5,0.94,-6484.0,20,70
RSI Mean Reversion,4261,83.3,-1378.3,38,5,0.98,-4719.0,20,100
Bollinger Bounce,6452,85.6,-2120.6,40,4,0.92,-2381.5,5,30
Bollinger Bounce,5971,90.7,-2626.3,57,3,0.91,-3037.3,5,50
Bollinger Bounce,5516,93.1,-2649.8,87,3,0.9,-2919.1,5,70
Bollinger Bounce,5081,95.3,-1214.3,115,2,0.95,-1984.6,5,100
Bollinger Bounce,5741,75.4,-712.3,22,5,0.98,-1549.9,10,30
Bollinger Bounce,5117,82.9,-2805.1,34,4,0.94,-3771.4,10,50
Bollinger Bounce,4572,86.8,-3891.6,38,4,0.91,-4496.1,10,70
Bollinger Bounce,4071,90.6,-2421.3,60,3,0.94,-3158.5,10,100
Bollinger Bounce,5176,66.6,-1807.8,16,7,0.97,-2227.5,15,30
Bollinger Bounce,4428,76.2,-3483.4,21,4,0.93,-3795.1,15,50
Bollinger Bounce,3878,81.5,-3853.4,38,4,0.92,-4265.0,15,70
Bollinger Bounce,3349,86.2,-3899.7,43,4,0.92,-4340.7,15,100
Bollinger Bounce,4781,59.8,-1964.3,12,9,0.97,-3176.2,20,30
Bollinger Bounce,4011,71.0,-2393.3,16,7,0.96,-3765.9,20,50
Bollinger Bounce,3467,77.2,-2890.1,21,5,0.95,-4520.4,20,70
Bollinger Bounce,2992,83.5,-217.6,30,5,1.0,-3052.3,20,100
Tokyo Range Breakout,921,71.8,1133.7,12,4,1.21,-191.0,10,20
Tokyo Range Breakout,803,84.9,2949.1,26,3,1.8,-163.6,10,30
Tokyo Range Breakout,714,96.2,5305.8,56,1,4.91,-90.9,10,50
Tokyo Range Breakout,781,61.8,1050.7,10,6,1.17,-198.1,15,20
Tokyo Range Breakout,644,78.0,3076.8,17,6,1.72,-228.6,15,30
Tokyo Range Breakout,538,94.2,5893.6,41,1,4.78,-106.8,15,50
Tokyo Range Breakout,672,51.5,198.4,8,9,1.03,-361.3,20,20
Tokyo Range Breakout,519,69.9,2424.3,12,7,1.51,-321.1,20,30
Tokyo Range Breakout,403,91.1,5419.1,27,2,3.99,-142.1,20,50
Tokyo Range Breakout,532,34.2,-1699.6,7,15,0.76,-2136.1,30,20
Tokyo Range Breakout,364,52.7,490.8,8,7,1.09,-426.6,30,30
Tokyo Range Breakout,235,82.6,3699.5,21,3,2.79,-150.9,30,50
High WR Scalping,22491,89.5,-807.3,70,4,0.99,-2354.7,5,40
High WR Scalping,19166,92.9,1030.2,95,4,1.01,-1884.8,5,60
High WR Scalping,16888,94.5,578.6,114,3,1.01,-2409.1,5,80
High WR Scalping,15410,95.5,-23.0,134,3,1.0,-4251.6,5,100
High WR Scalping,17854,83.8,-1196.2,50,5,0.99,-2125.4,8,40
High WR Scalping,14585,88.6,-1119.5,66,5,0.99,-2130.6,8,60
High WR Scalping,12660,91.1,-1166.0,81,3,0.99,-4406.6,8,80
High WR Scalping,11292,93.0,1412.4,106,3,1.02,-5153.6,8,100
High WR Scalping,15893,80.3,-1987.9,41,5,0.98,-4083.9,10,40
High WR Scalping,12649,85.8,-3094.7,41,4,0.97,-4443.6,10,60
High WR Scalping,10884,89.3,364.8,63,3,1.0,-4540.5,10,80
High WR Scalping,9677,91.6,4106.9,86,3,1.05,-4700.5,10,100
High WR Scalping,12523,72.5,-5221.9,25,8,0.96,-5708.2,15,40
High WR Scalping,9631,79.7,-5124.3,28,5,0.96,-6375.9,15,60
High WR Scalping,8032,84.8,2170.4,41,4,1.02,-4877.5,15,80
High WR Scalping,7126,88.0,6197.2,49,3,1.07,-3513.3,15,100
