tp,sl,nanpin,trades,win_rate,total_pips,max_dd,pf,avg_pips
120,100,25,465,65.16,18308.9,-13771.6,1.11,39.37
120,100,30,458,66.59,16657.4,-12216.2,1.11,36.37
100,100,25,547,69.1,13028.1,-17130.2,1.08,23.82
120,120,10,468,64.1,12607.5,-19320.0,1.05,26.94
70,100,25,743,77.66,12251.9,-17521.9,1.07,16.49
120,100,20,485,63.3,11645.4,-14560.4,1.06,24.01
100,120,25,524,72.52,9304.6,-16608.1,1.05,17.76
80,100,25,655,74.2,8025.1,-19356.5,1.05,12.25
120,120,25,438,68.26,7583.7,-18116.4,1.04,17.31
120,50,25,721,41.05,7175.3,-12476.0,1.08,9.95
100,100,20,571,67.43,7096.7,-14945.2,1.04,12.43
70,120,25,716,80.45,7062.1,-20352.2,1.04,9.86
80,100,20,684,73.1,5418.4,-17493.0,1.03,7.92
100,120,10,552,68.3,4614.2,-17648.3,1.02,8.36
120,50,20,707,42.15,4372.9,-18565.5,1.04,6.19
100,100,30,537,69.46,3716.3,-16713.1,1.02,6.92
120,120,30,439,69.25,3087.9,-13975.8,1.02,7.03
70,100,20,763,75.75,2196.4,-19346.0,1.01,2.88
70,80,25,801,72.78,2154.0,-13724.3,1.01,2.69
100,120,20,529,70.32,1828.6,-18504.0,1.01,3.46
50,100,20,1039,82.96,1523.0,-13252.7,1.01,1.47
80,30,25,1635,28.62,1443.3,-2157.4,1.03,0.88
120,80,25,526,58.56,1226.9,-14530.9,1.01,2.33
100,80,30,591,63.11,1202.0,-10556.1,1.01,2.03
70,80,40,775,71.23,1140.3,-9054.8,1.01,1.47
120,50,30,744,38.31,1074.6,-6316.4,1.01,1.44
120,30,20,1195,23.35,1012.8,-5397.6,1.02,0.85
70,30,25,1772,31.55,982.3,-2123.1,1.02,0.55
100,30,25,1419,24.24,786.2,-2574.0,1.02,0.55
120,50,40,835,34.13,722.8,-4934.0,1.02,0.87
50,30,30,2182,38.18,525.4,-1538.2,1.01,0.24
50,30,40,2182,38.18,525.4,-1538.2,1.01,0.24
50,30,25,2122,39.63,395.6,-1676.0,1.01,0.19
80,120,25,631,77.02,299.2,-19856.8,1.0,0.47
80,80,25,717,69.32,136.3,-12763.0,1.0,0.19
100,30,40,1461,23.34,61.7,-1757.0,1.0,0.04
100,30,30,1461,23.34,61.7,-1757.0,1.0,0.04
120,30,25,1283,20.65,-210.3,-4481.1,0.99,-0.16
70,30,30,1828,30.09,-388.4,-1958.6,0.99,-0.21
70,30,40,1828,30.09,-388.4,-1958.6,0.99,-0.21
100,30,20,1324,26.89,-522.1,-4952.1,0.99,-0.39
100,50,40,934,37.26,-638.6,-5208.1,0.99,-0.68
80,30,30,1681,27.19,-664.3,-2143.1,0.98,-0.4
80,30,40,1681,27.19,-664.3,-2143.1,0.98,-0.4
80,50,40,1066,42.87,-688.0,-4813.0,0.99,-0.65
30,30,30,2978,50.1,-713.4,-1671.6,0.98,-0.24
30,30,40,2978,50.1,-713.4,-1671.6,0.98,-0.24
120,30,30,1335,19.78,-850.5,-2575.5,0.97,-0.64
120,30,40,1335,19.78,-850.5,-2575.5,0.97,-0.64
50,100,25,1015,83.65,-1096.4,-16913.2,0.99,-1.08
70,80,10,854,69.09,-1099.8,-15610.1,1.0,-1.29
120,120,20,444,65.99,-1258.2,-18111.0,0.99,-2.83
100,50,25,825,44.85,-1275.4,-11476.1,0.99,-1.55
80,30,20,1540,31.1,-1359.2,-5025.1,0.98,-0.88
120,30,10,1091,26.58,-1361.7,-16647.9,0.99,-1.25
30,120,30,1540,93.31,-1541.4,-11798.4,0.99,-1.0
70,80,30,785,72.48,-1664.3,-12382.0,0.99,-2.12
70,120,10,744,76.48,-1870.8,-20353.2,0.99,-2.51
80,70,20,782,64.19,-2032.6,-17823.5,0.99,-2.6
70,30,20,1667,34.49,-2106.1,-5480.9,0.97,-1.26
70,100,30,722,77.42,-2459.9,-15730.1,0.98,-3.41
70,50,40,1176,45.75,-2521.8,-6114.0,0.95,-2.14
100,50,20,806,46.65,-2662.7,-16054.9,0.98,-3.3
100,80,25,604,63.25,-2912.4,-12599.7,0.98,-4.82
80,100,30,643,74.49,-2991.1,-12603.9,0.98,-4.65
30,30,25,2893,51.95,-3034.5,-3605.7,0.94,-1.05
120,120,15,457,64.33,-3250.8,-24806.7,0.99,-7.11
50,50,40,1449,54.73,-3697.1,-4723.9,0.93,-2.55
120,80,30,516,57.75,-3936.4,-9794.3,0.97,-7.63
100,120,30,512,72.46,-4132.6,-16509.5,0.98,-8.07
30,100,30,1582,91.47,-4145.0,-11347.7,0.97,-2.62
120,30,15,1127,25.11,-4161.6,-8814.3,0.95,-3.69
30,50,40,2010,66.52,-4646.0,-5823.4,0.92,-2.31
30,70,40,1635,82.51,-5148.7,-9738.5,0.94,-3.15
100,80,40,590,60.51,-5260.2,-13151.1,0.95,-8.92
50,30,20,2013,42.57,-5309.3,-7350.4,0.92,-2.64
100,50,30,845,42.25,-5318.8,-7494.8,0.94,-6.29
70,80,15,840,70.12,-5406.3,-15320.4,0.97,-6.44
80,120,20,647,75.43,-5461.4,-19110.9,0.97,-8.44
120,80,40,521,56.24,-5563.2,-17633.2,0.95,-10.68
50,70,40,1108,71.93,-5854.0,-11913.2,0.94,-5.28
70,120,30,692,80.49,-5870.9,-15480.2,0.97,-8.48
80,80,30,700,69.0,-5946.5,-12599.4,0.96,-8.5
100,70,30,645,56.9,-6065.3,-14115.6,0.95,-9.4
120,70,25,558,52.51,-6116.1,-25644.3,0.96,-10.96
30,30,20,2773,55.79,-6225.6,-7124.4,0.91,-2.25
70,70,30,845,66.51,-6326.1,-13837.6,0.95,-7.49
70,120,20,715,78.04,-6648.8,-22554.8,0.97,-9.3
50,80,40,1025,77.95,-6886.4,-12940.1,0.93,-6.72
30,30,10,2645,61.74,-6949.8,-10134.6,0.95,-2.63
70,70,20,866,67.21,-7088.6,-24036.6,0.96,-8.19
80,80,15,751,66.71,-7213.3,-17074.0,0.97,-9.6
50,120,25,977,85.77,-7331.9,-20484.7,0.96,-7.5
80,120,10,670,72.99,-7496.9,-24006.6,0.97,-11.19
30,80,30,1644,88.02,-7510.8,-12364.0,0.94,-4.57
30,70,30,1690,84.79,-7572.5,-12559.0,0.93,-4.48
100,30,15,1250,28.32,-7701.6,-10756.3,0.91,-6.16
120,70,20,563,52.04,-7729.2,-25644.3,0.95,-13.73
50,120,40,920,87.5,-7754.8,-21470.9,0.94,-8.43
70,70,40,855,63.27,-7765.0,-12240.0,0.92,-9.08
30,100,25,1603,90.95,-7962.0,-16256.8,0.95,-4.97
80,50,25,958,49.9,-8100.2,-13132.3,0.92,-8.46
70,80,20,829,70.57,-8133.5,-20422.2,0.96,-9.81
120,120,40,424,69.81,-8191.2,-16029.0,0.95,-19.32
30,50,30,1952,72.54,-8278.9,-9813.7,0.9,-4.24
80,70,30,761,63.21,-8367.4,-13448.1,0.94,-11.0
80,80,10,771,65.11,-8445.0,-20787.8,0.96,-10.95
30,30,15,2701,58.98,-8502.9,-11001.0,0.91,-3.15
80,70,25,765,63.66,-8649.6,-21138.4,0.94,-11.31
50,70,30,1102,74.68,-9020.4,-16677.8,0.93,-8.19
50,100,40,950,84.21,-9034.5,-17052.0,0.93,-9.51
120,70,30,561,51.69,-9120.0,-19611.8,0.93,-16.26
50,70,25,1119,75.69,-9397.3,-15329.8,0.94,-8.4
50,100,15,1051,81.35,-9987.5,-26867.0,0.95,-9.5
80,50,20,947,51.95,-10184.0,-18947.2,0.92,-10.75
50,120,10,1019,82.92,-10298.1,-30658.5,0.96,-10.11
50,80,10,1129,76.35,-10381.0,-22394.5,0.95,-9.19
50,30,15,1932,45.39,-10388.7,-12408.8,0.89,-5.38
80,80,20,742,67.12,-10521.6,-20942.2,0.95,-14.18
80,80,40,703,66.29,-11035.6,-16625.9,0.9,-15.7
70,100,15,777,74.0,-11104.4,-20791.0,0.95,-14.29
50,120,30,953,86.25,-11115.4,-17874.8,0.93,-11.66
30,70,25,1708,85.54,-11160.5,-21167.5,0.92,-6.53
50,70,20,1142,75.39,-11215.2,-19706.6,0.94,-9.82
70,120,40,672,81.55,-11381.8,-27561.5,0.92,-16.94
100,120,15,537,68.34,-11608.8,-26717.9,0.95,-21.62
30,50,25,1945,74.19,-11614.5,-14268.3,0.88,-5.97
80,70,40,784,59.06,-11646.7,-16120.7,0.88,-14.86
120,80,10,559,53.67,-11669.3,-24906.4,0.95,-20.88
100,80,10,644,59.01,-11810.3,-26264.2,0.95,-18.34
50,80,25,1073,79.31,-11817.5,-22654.8,0.93,-11.01
30,100,20,1633,90.14,-11903.2,-18556.1,0.93,-7.29
120,100,40,444,65.54,-11933.2,-18261.3,0.91,-26.88
100,70,20,653,57.12,-12171.7,-25746.7,0.93,-18.64
120,50,10,722,41.55,-12171.9,-27635.4,0.93,-16.86
70,50,30,1086,50.92,-12195.0,-14156.3,0.86,-11.23
80,50,30,976,47.44,-12327.7,-13460.7,0.86,-12.63
70,70,25,848,66.86,-12402.9,-24981.4,0.92,-14.63
50,80,30,1048,78.91,-12409.7,-18631.7,0.91,-11.84
100,70,25,644,56.99,-12441.8,-19176.4,0.92,-19.32
30,120,40,1450,92.9,-12548.1,-16456.5,0.89,-8.65
100,70,40,674,52.67,-13064.1,-18555.8,0.86,-19.38
30,80,25,1670,88.2,-13077.9,-19882.5,0.91,-7.83
70,30,15,1580,36.2,-13357.0,-14542.1,0.86,-8.45
80,120,30,618,77.35,-13437.9,-19723.8,0.93,-21.74
