tp,sl,nanpin,trades,win_rate,total_pips,max_dd,pf,avg_pips
40,40,3,2106,62.54,26384.9,-16617.7,1.07,12.53
40,25,5,2398,56.05,18928.4,-15703.0,1.07,7.89
40,30,3,2328,56.53,16642.4,-17340.5,1.05,7.15
40,25,3,2500,52.56,15910.5,-11940.6,1.05,6.36
40,25,7,2340,57.99,15443.1,-14351.6,1.06,6.6
40,30,5,2272,59.38,14250.2,-17875.7,1.05,6.27
40,20,10,2576,50.89,12856.3,-5324.9,1.09,4.99
10,25,3,6142,86.19,12152.2,-6128.7,1.05,1.98
10,20,3,6336,83.36,10067.3,-6929.5,1.04,1.59
15,30,3,4436,81.09,9837.6,-9549.6,1.03,2.22
40,10,3,3673,31.04,9662.5,-6776.8,1.05,2.63
10,10,3,7054,68.87,9362.2,-3385.9,1.06,1.33
15,25,5,4575,80.9,9152.8,-10516.7,1.04,2.0
30,40,3,2546,69.44,9105.9,-19749.1,1.03,3.58
40,40,5,2081,64.44,8939.3,-18788.1,1.03,4.3
15,20,5,4744,77.02,8743.7,-7492.8,1.04,1.84
40,20,3,2714,47.35,8484.5,-15437.0,1.03,3.13
40,20,7,2549,51.82,8195.0,-12895.2,1.04,3.21
10,30,3,5979,88.01,7642.7,-5699.9,1.03,1.28
10,10,5,7012,66.12,6738.4,-1927.5,1.07,0.96
15,30,7,4354,85.03,6560.7,-13022.1,1.03,1.51
40,30,7,2216,61.28,6477.9,-16193.4,1.02,2.92
10,15,3,6585,78.62,6157.0,-6287.9,1.03,0.94
40,20,12,2581,48.93,5716.9,-5157.9,1.05,2.21
10,20,5,6198,85.11,5470.0,-7212.6,1.03,0.88
40,20,5,2619,50.02,5425.0,-13591.8,1.02,2.07
20,25,5,3726,74.21,5044.6,-10442.1,1.02,1.35
15,40,3,4167,84.5,4491.6,-13063.5,1.01,1.08
15,25,3,4613,78.06,4479.9,-10027.6,1.02,0.97
15,10,3,5697,57.33,4226.7,-3418.4,1.02,0.74
20,10,3,4943,49.3,4100.4,-4390.1,1.02,0.83
25,20,10,3326,63.26,4095.8,-5305.4,1.03,1.23
30,20,10,2980,57.82,3677.1,-7542.2,1.02,1.23
40,10,7,4072,26.2,3490.8,-2421.9,1.05,0.86
15,10,5,5734,54.69,3490.1,-2175.5,1.03,0.61
10,25,5,6015,87.8,3306.3,-8546.7,1.02,0.55
40,15,15,3713,29.41,3251.1,-641.6,1.08,0.88
40,15,10,3157,37.47,3214.9,-3473.3,1.03,1.02
10,20,7,6019,85.65,3077.6,-5555.9,1.02,0.51
30,10,3,4123,37.74,2926.0,-5277.8,1.02,0.71
40,15,5,2943,42.37,2860.6,-7324.9,1.01,0.97
40,40,12,1944,70.63,2818.3,-15707.7,1.01,1.45
