TP,SL,Nanpin,Tolerance,trades,win_rate,total_pips,max_dd,pf,rf
30,30,20,15,36,63.89,210.0,-150.0,1.44,1.4
30,30,20,20,70,60.0,330.0,-240.0,1.32,1.38
30,30,20,25,105,66.67,960.0,-180.0,1.78,5.33
30,30,20,30,159,57.86,750.0,-270.0,1.34,2.78
30,30,20,35,200,58.5,1020.0,-300.0,1.38,3.4
30,30,30,15,36,63.89,300.0,-120.0,1.77,2.5
30,30,30,20,70,60.0,420.0,-150.0,1.5,2.8
30,30,30,25,104,66.35,1020.0,-150.0,1.97,6.8
30,30,30,30,158,56.96,660.0,-210.0,1.32,3.14
30,30,30,35,200,57.5,900.0,-300.0,1.35,3.0
30,30,40,15,36,63.89,300.0,-120.0,1.77,2.5
30,30,40,20,70,60.0,420.0,-150.0,1.5,2.8
30,30,40,25,104,66.35,1020.0,-150.0,1.97,6.8
30,30,40,30,158,56.96,660.0,-210.0,1.32,3.14
30,30,40,35,200,57.5,900.0,-300.0,1.35,3.0
30,30,50,15,36,63.89,300.0,-120.0,1.77,2.5
30,30,50,20,70,60.0,420.0,-150.0,1.5,2.8
30,30,50,25,104,66.35,1020.0,-150.0,1.97,6.8
30,30,50,30,158,56.96,660.0,-210.0,1.32,3.14
30,30,50,35,200,57.5,900.0,-300.0,1.35,3.0
30,30,60,15,36,63.89,300.0,-120.0,1.77,2.5
30,30,60,20,70,60.0,420.0,-150.0,1.5,2.8
30,30,60,25,104,66.35,1020.0,-150.0,1.97,6.8
30,30,60,30,158,56.96,660.0,-210.0,1.32,3.14
30,30,60,35,200,57.5,900.0,-300.0,1.35,3.0
30,40,20,15,35,71.43,320.0,-200.0,1.62,1.6
30,40,20,20,69,66.67,10.0,-660.0,1.01,0.02
30,40,20,25,102,71.57,670.0,-570.0,1.36,1.18
30,40,20,30,152,61.84,380.0,-710.0,1.12,0.54
30,40,20,35,187,63.1,660.0,-790.0,1.18,0.84
30,40,30,15,35,68.57,280.0,-120.0,1.64,2.33
30,40,30,20,69,65.22,390.0,-180.0,1.41,2.17
30,40,30,25,101,69.31,860.0,-200.0,1.69,4.3
30,40,30,30,149,59.73,240.0,-490.0,1.1,0.49
30,40,30,35,184,61.41,520.0,-480.0,1.18,1.08
30,40,40,15,35,68.57,280.0,-120.0,1.64,2.33
30,40,40,20,69,65.22,390.0,-180.0,1.41,2.17
30,40,40,25,101,69.31,860.0,-200.0,1.69,4.3
30,40,40,30,149,59.73,270.0,-370.0,1.11,0.73
30,40,40,35,184,61.41,550.0,-360.0,1.19,1.53
30,40,50,15,35,68.57,280.0,-120.0,1.64,2.33
30,40,50,20,69,65.22,390.0,-180.0,1.41,2.17
30,40,50,25,101,69.31,860.0,-200.0,1.69,4.3
30,40,50,30,149,59.73,270.0,-370.0,1.11,0.73
30,40,50,35,184,61.41,550.0,-360.0,1.19,1.53
30,40,60,15,35,68.57,280.0,-120.0,1.64,2.33
30,40,60,20,69,65.22,390.0,-180.0,1.41,2.17
30,40,60,25,101,69.31,860.0,-200.0,1.69,4.3
30,40,60,30,149,59.73,270.0,-370.0,1.11,0.73
30,40,60,35,184,61.41,550.0,-360.0,1.19,1.53
30,50,20,15,35,74.29,120.0,-340.0,1.16,0.35
30,50,20,20,67,70.15,-520.0,-820.0,0.76,-0.63
30,50,20,25,98,73.47,20.0,-730.0,1.01,0.03
30,50,20,30,146,65.07,-300.0,-960.0,0.93,-0.31
30,50,20,35,177,66.67,80.0,-1050.0,1.02,0.08
30,50,30,15,35,71.43,100.0,-300.0,1.15,0.33
30,50,30,20,67,68.66,30.0,-290.0,1.02,0.1
30,50,30,25,97,71.13,370.0,-240.0,1.22,1.54
30,50,30,30,144,61.11,-820.0,-1130.0,0.77,-0.73
30,50,30,35,175,63.43,-530.0,-920.0,0.87,-0.58
30,50,40,15,35,71.43,250.0,-150.0,1.5,1.67
30,50,40,20,67,68.66,180.0,-220.0,1.15,0.82
30,50,40,25,97,71.13,520.0,-200.0,1.34,2.6
30,50,40,30,144,61.11,-460.0,-680.0,0.85,-0.68
30,50,40,35,176,63.07,-220.0,-530.0,0.94,-0.42
30,50,50,15,35,71.43,250.0,-150.0,1.5,1.67
30,50,50,20,67,68.66,330.0,-220.0,1.31,1.5
30,50,50,25,97,71.13,670.0,-200.0,1.48,3.35
30,50,50,30,144,61.11,-160.0,-610.0,0.94,-0.26
30,50,50,35,176,63.07,80.0,-530.0,1.02,0.15
30,50,60,15,35,71.43,250.0,-150.0,1.5,1.67
30,50,60,20,67,68.66,330.0,-220.0,1.31,1.5
30,50,60,25,97,71.13,670.0,-200.0,1.48,3.35
30,50,60,30,144,61.11,-160.0,-610.0,0.94,-0.26
30,50,60,35,176,63.07,80.0,-530.0,1.02,0.15
30,60,20,15,35,82.86,690.0,-240.0,2.28,2.88
30,60,20,20,66,75.76,-90.0,-1020.0,0.96,-0.09
30,60,20,25,97,77.32,30.0,-930.0,1.01,0.03
30,60,20,30,140,70.71,-30.0,-1110.0,0.99,-0.03
30,60,20,35,170,71.18,240.0,-1140.0,1.05,0.21
30,60,30,15,35,80.0,510.0,-240.0,1.85,2.13
30,60,30,20,66,75.76,540.0,-330.0,1.36,1.64
30,60,30,25,96,77.08,720.0,-360.0,1.35,2.0
30,60,30,30,138,67.39,-360.0,-990.0,0.91,-0.36
30,60,30,35,169,68.64,-150.0,-930.0,0.97,-0.16
30,60,40,15,35,80.0,600.0,-180.0,2.43,3.33
30,60,40,20,66,75.76,540.0,-330.0,1.41,1.64
30,60,40,25,96,77.08,900.0,-300.0,1.54,3.0
30,60,40,30,138,66.67,-360.0,-1080.0,0.9,-0.33
30,60,40,35,169,68.05,-150.0,-1020.0,0.96,-0.15
30,60,50,15,34,76.47,300.0,-180.0,1.63,1.67
30,60,50,20,64,71.88,120.0,-480.0,1.1,0.25
30,60,50,25,94,74.47,480.0,-390.0,1.3,1.23
30,60,50,30,136,64.71,-600.0,-900.0,0.81,-0.67
30,60,50,35,167,66.47,-390.0,-900.0,0.9,-0.43
30,60,60,15,34,76.47,300.0,-180.0,1.63,1.67
30,60,60,20,64,71.88,300.0,-300.0,1.28,1.0
30,60,60,25,94,74.47,660.0,-240.0,1.46,2.75
30,60,60,30,136,64.71,-240.0,-720.0,0.92,-0.33
30,60,60,35,167,66.47,-30.0,-720.0,0.99,-0.04
30,70,20,15,35,82.86,390.0,-500.0,1.46,0.78
30,70,20,20,66,81.82,1050.0,-830.0,1.56,1.27
30,70,20,25,97,82.47,1480.0,-810.0,1.56,1.83
30,70,20,30,137,75.91,-290.0,-2480.0,0.95,-0.12
30,70,20,35,166,75.9,-30.0,-2460.0,1.0,-0.01
30,70,30,15,35,80.0,200.0,-500.0,1.22,0.4
30,70,30,20,66,80.3,950.0,-620.0,1.62,1.53
30,70,30,25,96,80.21,830.0,-760.0,1.35,1.09
30,70,30,30,136,72.06,-470.0,-1790.0,0.9,-0.26
30,70,30,35,166,72.89,-270.0,-1780.0,0.95,-0.15
30,70,40,15,35,80.0,530.0,-210.0,2.08,2.52
30,70,40,20,66,80.3,1100.0,-410.0,1.98,2.68
30,70,40,25,96,80.21,1190.0,-550.0,1.68,2.16
30,70,40,30,136,71.32,-360.0,-1740.0,0.91,-0.21
30,70,40,35,166,72.29,-160.0,-1730.0,0.96,-0.09
30,70,50,15,34,76.47,220.0,-210.0,1.39,1.05
30,70,50,20,64,75.0,110.0,-590.0,1.08,0.19
30,70,50,25,94,76.6,200.0,-670.0,1.1,0.3
30,70,50,30,134,68.66,-930.0,-1320.0,0.75,-0.7
30,70,50,35,164,70.12,-730.0,-1310.0,0.83,-0.56
30,70,60,15,34,76.47,220.0,-210.0,1.39,1.05
30,70,60,20,64,75.0,320.0,-380.0,1.29,0.84
30,70,60,25,94,76.6,620.0,-300.0,1.4,2.07
30,70,60,30,134,68.66,-300.0,-900.0,0.9,-0.33
30,70,60,35,164,70.12,-100.0,-890.0,0.97,-0.11
30,80,20,15,35,82.86,-210.0,-1090.0,0.85,-0.19
30,80,20,20,66,83.33,110.0,-1930.0,1.04,0.06
30,80,20,25,96,84.38,840.0,-1680.0,1.23,0.5
30,80,20,30,134,80.6,-1230.0,-3620.0,0.84,-0.34
30,80,20,35,161,80.75,-640.0,-3410.0,0.92,-0.19
30,80,30,15,35,82.86,-210.0,-1090.0,0.85,-0.19
30,80,30,20,66,83.33,260.0,-1690.0,1.1,0.15
30,80,30,25,95,83.16,340.0,-1670.0,1.11,0.2
30,80,30,30,133,77.44,-1480.0,-3080.0,0.78,-0.48
30,80,30,35,160,78.12,-980.0,-2920.0,0.86,-0.34
30,80,40,15,35,82.86,90.0,-720.0,1.09,0.13
30,80,40,20,66,83.33,620.0,-1210.0,1.34,0.51
30,80,40,25,95,83.16,700.0,-1190.0,1.28,0.59
30,80,40,30,133,76.69,-710.0,-2250.0,0.86,-0.32
30,80,40,35,160,77.5,-600.0,-2450.0,0.9,-0.24
30,80,50,15,34,79.41,-230.0,-720.0,0.78,-0.32
30,80,50,20,64,78.12,-160.0,-890.0,0.91,-0.18
30,80,50,25,93,79.57,-80.0,-810.0,0.97,-0.1
30,80,50,30,132,73.48,-1510.0,-1970.0,0.7,-0.77
30,80,50,35,160,75.0,-1370.0,-2100.0,0.76,-0.65
30,80,60,15,34,79.41,250.0,-240.0,1.45,1.04
30,80,60,20,64,78.12,470.0,-310.0,1.42,1.52
30,80,60,25,93,79.57,790.0,-250.0,1.52,3.16
30,80,60,30,131,73.28,-280.0,-1130.0,0.92,-0.25
30,80,60,35,160,74.38,20.0,-1170.0,1.01,0.02
30,100,20,15,35,91.43,570.0,-1100.0,1.48,0.52
30,100,20,20,66,92.42,1580.0,-1860.0,1.56,0.85
30,100,20,25,95,91.58,1970.0,-1810.0,1.53,1.09
30,100,20,30,130,87.69,-850.0,-3590.0,0.9,-0.24
30,100,20,35,155,89.03,940.0,-2870.0,1.11,0.33
30,100,30,15,35,91.43,570.0,-1100.0,1.48,0.52
30,100,30,20,66,90.91,1440.0,-1380.0,1.6,1.04
30,100,30,25,94,90.43,1770.0,-1320.0,1.59,1.34
30,100,30,30,129,86.05,-590.0,-2080.0,0.92,-0.28
30,100,30,35,154,87.01,800.0,-1620.0,1.11,0.49
30,100,40,15,35,85.71,-230.0,-1200.0,0.84,-0.19
30,100,40,20,66,87.88,610.0,-1520.0,1.27,0.4
30,100,40,25,94,88.3,940.0,-1470.0,1.32,0.64
30,100,40,30,129,84.5,-980.0,-1770.0,0.85,-0.55
30,100,40,35,154,85.06,-860.0,-2170.0,0.88,-0.4
30,100,50,15,33,84.85,-470.0,-1200.0,0.66,-0.39
30,100,50,20,62,85.48,30.0,-1240.0,1.01,0.02
30,100,50,25,90,86.67,360.0,-1250.0,1.13,0.29
30,100,50,30,126,81.75,-2060.0,-2300.0,0.68,-0.9
30,100,50,35,153,82.35,-2190.0,-2540.0,0.71,-0.86
30,100,60,15,33,84.85,430.0,-300.0,1.86,1.43
30,100,60,20,61,85.25,1020.0,-200.0,2.13,5.1
30,100,60,25,88,86.36,840.0,-800.0,1.47,1.05
30,100,60,30,124,82.26,-550.0,-1510.0,0.88,-0.36
30,100,60,35,153,82.35,-750.0,-2030.0,0.87,-0.37
40,30,20,15,35,60.0,330.0,-160.0,1.65,2.06
40,30,20,20,65,53.85,440.0,-250.0,1.41,1.76
40,30,20,25,97,61.86,1230.0,-180.0,1.95,6.83
40,30,20,30,148,52.03,800.0,-300.0,1.33,2.67
40,30,20,35,182,52.75,1110.0,-420.0,1.39,2.64
40,30,30,15,35,60.0,420.0,-120.0,2.0,3.5
40,30,30,20,65,53.85,500.0,-160.0,1.56,3.12
40,30,30,25,97,61.86,1290.0,-150.0,2.16,8.6
40,30,30,30,148,52.03,950.0,-210.0,1.45,4.52
40,30,30,35,183,52.46,1230.0,-270.0,1.47,4.56
40,30,40,15,35,60.0,420.0,-120.0,2.0,3.5
40,30,40,20,65,53.85,500.0,-160.0,1.56,3.12
40,30,40,25,97,61.86,1290.0,-150.0,2.16,8.6
40,30,40,30,148,52.03,950.0,-210.0,1.45,4.52
40,30,40,35,183,52.46,1230.0,-270.0,1.47,4.56
40,30,50,15,35,60.0,420.0,-120.0,2.0,3.5
40,30,50,20,65,53.85,500.0,-160.0,1.56,3.12
40,30,50,25,97,61.86,1290.0,-150.0,2.16,8.6
40,30,50,30,148,52.03,950.0,-210.0,1.45,4.52
40,30,50,35,183,52.46,1230.0,-270.0,1.47,4.56
40,30,60,15,35,60.0,420.0,-120.0,2.0,3.5
40,30,60,20,65,53.85,500.0,-160.0,1.56,3.12
40,30,60,25,97,61.86,1290.0,-150.0,2.16,8.6
40,30,60,30,148,52.03,950.0,-210.0,1.45,4.52
40,30,60,35,183,52.46,1230.0,-270.0,1.47,4.56
40,40,20,15,34,64.71,400.0,-240.0,1.67,1.67
40,40,20,20,63,58.73,-40.0,-760.0,0.98,-0.05
40,40,20,25,93,65.59,800.0,-600.0,1.38,1.33
40,40,20,30,141,56.03,440.0,-920.0,1.12,0.48
40,40,20,35,169,57.99,720.0,-1000.0,1.18,0.72
40,40,30,15,34,61.76,320.0,-120.0,1.62,2.67
40,40,30,20,63,57.14,360.0,-240.0,1.33,1.5
40,40,30,25,93,63.44,1000.0,-200.0,1.74,5.0
40,40,30,30,139,54.68,520.0,-320.0,1.2,1.62
40,40,30,35,169,56.8,920.0,-400.0,1.3,2.3
40,40,40,15,34,61.76,320.0,-120.0,1.62,2.67
40,40,40,20,63,57.14,360.0,-240.0,1.33,1.5
40,40,40,25,93,63.44,1000.0,-200.0,1.74,5.0
40,40,40,30,139,54.68,520.0,-240.0,1.21,2.17
40,40,40,35,169,56.8,920.0,-320.0,1.32,2.88
40,40,50,15,34,61.76,320.0,-120.0,1.62,2.67
40,40,50,20,63,57.14,360.0,-240.0,1.33,1.5
40,40,50,25,93,63.44,1000.0,-200.0,1.74,5.0
40,40,50,30,139,54.68,520.0,-240.0,1.21,2.17
40,40,50,35,169,56.8,920.0,-320.0,1.32,2.88
40,40,60,15,34,61.76,320.0,-120.0,1.62,2.67
40,40,60,20,63,57.14,360.0,-240.0,1.33,1.5
40,40,60,25,93,63.44,1000.0,-200.0,1.74,5.0
40,40,60,30,139,54.68,520.0,-240.0,1.21,2.17
40,40,60,35,169,56.8,920.0,-320.0,1.32,2.88
40,50,20,15,33,72.73,450.0,-260.0,1.6,1.73
40,50,20,20,60,65.0,-210.0,-1000.0,0.91,-0.21
40,50,20,25,89,69.66,530.0,-780.0,1.21,0.68
40,50,20,30,131,60.31,-310.0,-1200.0,0.93,-0.26
40,50,20,35,156,62.18,60.0,-1290.0,1.01,0.05
40,50,30,15,33,66.67,180.0,-270.0,1.26,0.67
40,50,30,20,60,61.67,180.0,-300.0,1.14,0.6
40,50,30,25,89,66.29,710.0,-210.0,1.43,3.38
40,50,30,30,131,57.25,-430.0,-920.0,0.88,-0.47
40,50,30,35,157,59.87,-20.0,-690.0,0.99,-0.03
40,50,40,15,33,66.67,330.0,-150.0,1.6,2.2
40,50,40,20,60,61.67,180.0,-300.0,1.14,0.6
40,50,40,25,89,66.29,710.0,-210.0,1.43,3.38
40,50,40,30,131,57.25,-250.0,-630.0,0.92,-0.4
40,50,40,35,157,59.87,160.0,-500.0,1.04,0.32
40,50,50,15,33,66.67,330.0,-150.0,1.6,2.2
40,50,50,20,60,61.67,330.0,-300.0,1.29,1.1
40,50,50,25,89,66.29,860.0,-210.0,1.57,4.1
40,50,50,30,131,57.25,200.0,-410.0,1.07,0.49
40,50,50,35,157,59.87,610.0,-400.0,1.19,1.53
40,50,60,15,33,66.67,330.0,-150.0,1.6,2.2
40,50,60,20,60,61.67,330.0,-300.0,1.29,1.1
40,50,60,25,89,66.29,860.0,-210.0,1.57,4.1
40,50,60,30,131,57.25,200.0,-410.0,1.07,0.49
40,50,60,35,157,59.87,610.0,-400.0,1.19,1.53
40,60,20,15,33,81.82,1140.0,-240.0,3.11,4.75
40,60,20,20,60,70.0,180.0,-1280.0,1.08,0.14
40,60,20,25,89,73.03,500.0,-1060.0,1.16,0.47
40,60,20,30,128,64.84,20.0,-1320.0,1.0,0.02
40,60,20,35,152,65.79,280.0,-1460.0,1.05,0.19
40,60,30,15,33,75.76,700.0,-240.0,2.06,2.92
40,60,30,20,60,68.33,740.0,-320.0,1.49,2.31
40,60,30,25,89,70.79,1020.0,-360.0,1.49,2.83
40,60,30,30,128,61.72,-80.0,-780.0,0.98,-0.1
40,60,30,35,154,63.64,260.0,-700.0,1.06,0.37
40,60,40,15,33,75.76,760.0,-180.0,2.58,4.22
40,60,40,20,60,68.33,500.0,-340.0,1.33,1.47
40,60,40,25,89,70.79,960.0,-260.0,1.5,3.69
40,60,40,30,127,60.63,-580.0,-940.0,0.85,-0.62
40,60,40,35,153,62.75,-240.0,-860.0,0.94,-0.28
40,60,50,15,31,74.19,440.0,-180.0,1.92,2.44
40,60,50,20,57,64.91,100.0,-560.0,1.07,0.18
40,60,50,25,86,68.6,560.0,-420.0,1.31,1.33
40,60,50,30,125,59.2,-460.0,-760.0,0.87,-0.61
40,60,50,35,151,61.59,-120.0,-780.0,0.97,-0.15
40,60,60,15,31,74.19,440.0,-180.0,1.92,2.44
40,60,60,20,57,64.91,280.0,-380.0,1.23,0.74
40,60,60,25,86,68.6,740.0,-240.0,1.46,3.08
40,60,60,30,125,59.2,-100.0,-580.0,0.97,-0.17
40,60,60,35,151,61.59,240.0,-600.0,1.07,0.4
40,70,20,15,33,81.82,840.0,-420.0,2.0,2.0
40,70,20,20,60,76.67,1360.0,-1000.0,1.61,1.36
40,70,20,25,89,78.65,2110.0,-770.0,1.7,2.74
40,70,20,30,125,71.2,660.0,-1800.0,1.1,0.37
40,70,20,35,148,71.62,920.0,-1830.0,1.14,0.5
40,70,30,15,32,78.12,450.0,-420.0,1.49,1.07
40,70,30,20,59,74.58,1160.0,-750.0,1.69,1.55
40,70,30,25,88,76.14,1360.0,-780.0,1.54,1.74
40,70,30,30,123,67.48,-320.0,-1690.0,0.94,-0.19
40,70,30,35,148,68.92,20.0,-1650.0,1.0,0.01
40,70,40,15,32,78.12,750.0,-210.0,2.53,3.57
40,70,40,20,59,74.58,1220.0,-450.0,1.97,2.71
40,70,40,25,88,76.14,1630.0,-510.0,1.86,3.2
40,70,40,30,122,66.39,-590.0,-1590.0,0.87,-0.37
40,70,40,35,147,68.03,-250.0,-1550.0,0.95,-0.16
40,70,50,15,30,76.67,430.0,-210.0,1.88,2.05
40,70,50,20,56,69.64,160.0,-680.0,1.11,0.24
40,70,50,25,85,72.94,570.0,-710.0,1.28,0.8
40,70,50,30,120,64.17,-860.0,-1170.0,0.79,-0.74
40,70,50,35,145,66.21,-520.0,-1130.0,0.88,-0.46
40,70,60,15,30,76.67,430.0,-210.0,1.88,2.05
40,70,60,20,56,69.64,370.0,-470.0,1.31,0.79
40,70,60,25,85,72.94,870.0,-340.0,1.54,2.56
40,70,60,30,120,64.17,-350.0,-750.0,0.9,-0.47
40,70,60,35,145,66.21,-10.0,-720.0,1.0,-0.01
40,80,20,15,33,81.82,240.0,-1000.0,1.17,0.24
40,80,20,20,60,78.33,-200.0,-2440.0,0.95,-0.08
40,80,20,25,88,80.68,880.0,-1840.0,1.19,0.48
40,80,20,30,121,76.86,-360.0,-3040.0,0.96,-0.12
40,80,20,35,142,77.46,320.0,-2840.0,1.04,0.11
40,80,30,15,32,81.25,80.0,-1000.0,1.06,0.08
40,80,30,20,59,77.97,320.0,-1760.0,1.11,0.18
40,80,30,25,87,79.31,720.0,-1640.0,1.2,0.44
40,80,30,30,118,73.73,-1320.0,-3000.0,0.82,-0.44
40,80,30,35,140,75.0,-600.0,-2760.0,0.92,-0.22
40,80,40,15,31,80.65,280.0,-720.0,1.29,0.39
40,80,40,20,58,77.59,760.0,-1200.0,1.38,0.63
40,80,40,25,86,79.07,1160.0,-1160.0,1.44,1.0
40,80,40,30,117,71.79,-840.0,-2240.0,0.85,-0.37
40,80,40,35,139,73.38,-560.0,-2280.0,0.91,-0.25
40,80,50,15,29,79.31,-40.0,-720.0,0.96,-0.06
40,80,50,20,55,72.73,-80.0,-920.0,0.96,-0.09
40,80,50,25,83,75.9,320.0,-800.0,1.13,0.4
40,80,50,30,116,68.97,-1360.0,-1600.0,0.74,-0.85
40,80,50,35,139,71.22,-1040.0,-1760.0,0.82,-0.59
40,80,60,15,29,79.31,440.0,-240.0,1.92,1.83
40,80,60,20,55,72.73,520.0,-440.0,1.43,1.18
40,80,60,25,83,75.9,1040.0,-360.0,1.65,2.89
40,80,60,30,115,68.7,-320.0,-920.0,0.92,-0.35
40,80,60,35,139,70.5,160.0,-920.0,1.04,0.17
40,100,20,15,33,90.91,1200.0,-1100.0,2.0,1.09
40,100,20,20,58,87.93,500.0,-2680.0,1.11,0.19
40,100,20,25,85,88.24,1240.0,-1940.0,1.22,0.64
40,100,20,30,115,84.35,-1480.0,-2940.0,0.87,-0.5
40,100,20,35,134,85.82,340.0,-2260.0,1.03,0.15
40,100,30,15,32,90.62,1040.0,-1100.0,1.87,0.95
40,100,30,20,58,86.21,1280.0,-1340.0,1.4,0.96
40,100,30,25,85,87.06,2000.0,-1260.0,1.53,1.59
40,100,30,30,114,82.46,-700.0,-1760.0,0.92,-0.4
40,100,30,35,134,84.33,1280.0,-1600.0,1.14,0.8
40,100,40,15,31,83.87,-600.0,-1240.0,0.7,-0.48
40,100,40,20,57,84.21,180.0,-1400.0,1.05,0.13
40,100,40,25,83,86.75,1300.0,-1300.0,1.37,1.0
40,100,40,30,111,81.08,-1620.0,-2160.0,0.8,-0.75
40,100,40,35,131,82.44,-1100.0,-1980.0,0.88,-0.56
40,100,50,15,29,82.76,-920.0,-1400.0,0.54,-0.66
40,100,50,20,54,81.48,-500.0,-1500.0,0.84,-0.33
40,100,50,25,80,85.0,620.0,-1400.0,1.19,0.44
40,100,50,30,111,78.38,-2100.0,-2180.0,0.72,-0.96
40,100,50,35,133,79.7,-1880.0,-2200.0,0.78,-0.85
40,100,60,15,29,82.76,280.0,-400.0,1.35,0.7
40,100,60,20,53,81.13,720.0,-500.0,1.45,1.44
40,100,60,25,78,84.62,840.0,-920.0,1.35,0.91
40,100,60,30,109,78.9,-840.0,-1480.0,0.85,-0.57
40,100,60,35,132,79.55,-840.0,-1800.0,0.87,-0.47
50,30,20,15,35,57.14,460.0,-150.0,1.85,3.07
50,30,20,20,61,47.54,460.0,-250.0,1.4,1.84
50,30,20,25,86,53.49,980.0,-230.0,1.67,4.26
50,30,20,30,133,44.36,520.0,-370.0,1.2,1.41
50,30,20,35,164,46.95,1030.0,-460.0,1.35,2.24
50,30,30,15,35,57.14,550.0,-120.0,2.22,4.58
50,30,30,20,61,47.54,490.0,-160.0,1.51,3.06
50,30,30,25,86,53.49,1100.0,-150.0,1.92,7.33
50,30,30,30,133,44.36,730.0,-220.0,1.33,3.32
50,30,30,35,165,46.67,1210.0,-310.0,1.46,3.9
50,30,40,15,35,57.14,550.0,-120.0,2.22,4.58
50,30,40,20,61,47.54,490.0,-160.0,1.51,3.06
50,30,40,25,86,53.49,1100.0,-150.0,1.92,7.33
50,30,40,30,133,44.36,730.0,-220.0,1.33,3.32
50,30,40,35,165,46.67,1210.0,-310.0,1.46,3.9
50,30,50,15,35,57.14,550.0,-120.0,2.22,4.58
50,30,50,20,61,47.54,490.0,-160.0,1.51,3.06
50,30,50,25,86,53.49,1100.0,-150.0,1.92,7.33
50,30,50,30,133,44.36,730.0,-220.0,1.33,3.32
50,30,50,35,165,46.67,1210.0,-310.0,1.46,3.9
50,30,60,15,35,57.14,550.0,-120.0,2.22,4.58
50,30,60,20,61,47.54,490.0,-160.0,1.51,3.06
50,30,60,25,86,53.49,1100.0,-150.0,1.92,7.33
50,30,60,30,133,44.36,730.0,-220.0,1.33,3.32
50,30,60,35,165,46.67,1210.0,-310.0,1.46,3.9
50,40,20,15,34,61.76,440.0,-310.0,1.58,1.42
50,40,20,20,58,55.17,170.0,-680.0,1.09,0.25
50,40,20,25,82,60.98,980.0,-670.0,1.46,1.46
50,40,20,30,125,52.0,1120.0,-920.0,1.32,1.22
50,40,20,35,150,54.67,1500.0,-960.0,1.39,1.56
50,40,30,15,34,58.82,440.0,-120.0,1.79,3.67
50,40,30,20,57,52.63,420.0,-200.0,1.39,2.1
50,40,30,25,81,58.02,990.0,-200.0,1.73,4.95
50,40,30,30,123,48.78,510.0,-320.0,1.19,1.59
50,40,30,35,149,52.35,1090.0,-360.0,1.37,3.03
50,40,40,15,34,58.82,440.0,-120.0,1.79,3.67
50,40,40,20,57,52.63,420.0,-200.0,1.39,2.1
50,40,40,25,81,58.02,990.0,-200.0,1.73,4.95
50,40,40,30,122,48.36,430.0,-280.0,1.17,1.54
50,40,40,35,148,52.03,1010.0,-320.0,1.36,3.16
50,40,50,15,34,58.82,440.0,-120.0,1.79,3.67
50,40,50,20,57,52.63,420.0,-200.0,1.39,2.1
50,40,50,25,81,58.02,990.0,-200.0,1.73,4.95
50,40,50,30,122,48.36,430.0,-280.0,1.17,1.54
50,40,50,35,148,52.03,1010.0,-320.0,1.36,3.16
50,40,60,15,34,58.82,440.0,-120.0,1.79,3.67
50,40,60,20,57,52.63,420.0,-200.0,1.39,2.1
50,40,60,25,81,58.02,990.0,-200.0,1.73,4.95
50,40,60,30,122,48.36,430.0,-280.0,1.17,1.54
50,40,60,35,148,52.03,1010.0,-320.0,1.36,3.16
50,50,20,15,32,68.75,300.0,-450.0,1.27,0.67
50,50,20,20,54,61.11,-150.0,-900.0,0.94,-0.17
50,50,20,25,78,64.1,500.0,-1000.0,1.18,0.5
50,50,20,30,120,55.0,-300.0,-1500.0,0.94,-0.2
